City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Padang,ID,-0.9492,100.3543,77.49,87,99,3.74,overcast clouds
1,Pravia,ES,43.4906,-6.1508,69.22,88,75,2.3,broken clouds
2,Vaini,TO,-21.2,-175.2,73.56,94,75,8.05,broken clouds
3,Aklavik,CA,68.2191,-135.0107,41.0,93,100,3.44,mist
4,Paka,MY,4.6374,103.4368,78.73,89,100,0.0,overcast clouds
5,Peniche,PT,39.3558,-9.3811,74.08,92,12,9.33,few clouds
6,Rikitea,PF,-23.1203,-134.9692,70.68,69,0,8.9,clear sky
7,Kapaa,US,22.0752,-159.319,71.92,97,20,5.75,few clouds
8,Iqaluit,CA,63.7506,-68.5145,47.93,66,75,5.75,broken clouds
9,Chokurdakh,RU,70.6333,147.9167,35.76,95,100,3.65,overcast clouds
10,Henties Bay,NA,-22.116,14.2845,59.09,88,12,5.7,few clouds
11,Pravda,RU,46.9396,142.009,56.41,72,100,4.41,overcast clouds
12,Barrow,US,71.2906,-156.7887,35.62,93,100,26.46,mist
13,Verkhneye Dubrovo,RU,56.7528,61.0468,58.48,41,0,11.18,clear sky
14,Husavik,IS,66.0449,-17.3389,46.09,58,0,3.62,clear sky
15,Cape Town,ZA,-33.9258,18.4232,64.11,75,0,5.75,clear sky
16,Snasa,NO,64.2457,12.3778,53.01,92,100,3.2,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,55.87,87,60,7.96,light rain
18,Hobart,AU,-42.8794,147.3294,48.06,93,40,0.0,scattered clouds
19,Kharp,RU,66.8014,65.8081,47.86,78,100,4.34,overcast clouds
20,Thinadhoo,MV,0.5333,72.9333,81.59,68,12,2.82,few clouds
21,Fort Frances,CA,48.5999,-93.4003,61.05,59,100,10.36,heavy intensity rain
22,Punta Arenas,CL,-53.15,-70.9167,44.71,53,75,21.85,broken clouds
23,Ushuaia,AR,-54.8,-68.3,46.06,42,20,11.5,few clouds
24,Eydhafushi,MV,5.1033,73.0708,80.98,73,13,6.44,few clouds
25,Tuatapere,NZ,-46.1333,167.6833,44.22,79,95,8.41,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,57.61,89,87,3.67,overcast clouds
27,Barrhead,GB,55.7992,-4.3929,58.84,66,71,13.8,broken clouds
28,Wagar,SD,16.1525,36.2032,97.88,30,31,2.53,scattered clouds
29,Mataura,NZ,-46.1927,168.8643,46.47,85,98,4.85,overcast clouds
30,Arvika,SE,59.6553,12.5852,54.21,67,100,7.81,overcast clouds
31,Kaitangata,NZ,-46.2817,169.8464,39.94,86,81,9.55,broken clouds
32,Pandan,PH,14.0453,124.1694,80.55,83,49,7.27,scattered clouds
33,Qaanaaq,GL,77.484,-69.3632,33.24,66,97,4.34,overcast clouds
34,La Asuncion,VE,11.0333,-63.8628,85.23,68,57,9.35,broken clouds
35,San Anselmo,US,37.9747,-122.5616,68.11,75,75,4.61,broken clouds
36,Dubti,ET,11.7361,41.0853,99.48,25,42,4.16,scattered clouds
37,Mairana,BO,-18.1167,-63.9333,64.42,35,100,4.07,overcast clouds
38,Ajdabiya,LY,30.7554,20.2263,78.76,58,0,11.99,clear sky
39,Pevek,RU,69.7008,170.3133,34.47,89,100,3.89,overcast clouds
40,Thompson,CA,55.7435,-97.8558,50.16,93,75,3.44,broken clouds
41,Paramonga,PE,-10.6667,-77.8333,66.13,69,67,8.1,broken clouds
42,Djenne,ML,13.9061,-4.5533,96.76,36,94,6.38,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,64.09,94,0,4.61,clear sky
44,Pisco,PE,-13.7,-76.2167,60.85,82,100,8.05,mist
45,Umred,IN,20.85,79.3333,77.29,93,100,7.7,heavy intensity rain
46,Banjar,ID,-8.19,114.9675,76.35,88,53,6.22,broken clouds
47,New Norfolk,AU,-42.7826,147.0587,47.71,98,56,1.83,broken clouds
48,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,97.45,36,11,5.86,few clouds
49,Fushan,CN,37.4958,121.2581,73.65,94,100,26.37,light rain
50,Constitucion,CL,-35.3333,-72.4167,59.99,62,100,7.25,overcast clouds
51,Nome,US,64.5011,-165.4064,47.16,93,100,10.36,light rain
