City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-09-14 15:34:04,-46.6,168.3333,46.8,75,97,27.58
1,Pailon,BO,2022-09-14 15:34:05,-17.65,-62.75,61.7,87,100,12.62
2,Avera,US,2022-09-14 15:34:05,33.194,-82.5271,78.55,40,0,7.49
3,Tuy Hoa,VN,2022-09-14 15:30:55,13.0833,109.3,78.08,89,91,4.74
4,Ornskoldsvik,SE,2022-09-14 15:34:07,63.2909,18.7153,52.75,100,100,13.8
5,Vao,NC,2022-09-14 15:34:07,-22.6667,167.4833,68.77,72,1,11.92
6,Krasne,UA,2022-09-14 15:34:09,49.9145,24.6134,63.82,65,100,9.91
7,Butaritari,KI,2022-09-14 15:34:09,3.0707,172.7902,81.41,73,98,15.19
8,Mataura,NZ,2022-09-14 15:34:10,-46.1927,168.8643,46.47,98,31,2.66
9,East London,ZA,2022-09-14 15:34:10,-33.0153,27.9116,70.74,78,0,12.66
10,Carnarvon,AU,2022-09-14 15:34:11,-24.8667,113.6333,63.75,65,25,25.41
11,Atuona,PF,2022-09-14 15:34:12,-9.8,-139.0333,76.59,70,21,14.61
12,Waipawa,NZ,2022-09-14 15:34:12,-41.4122,175.5153,35.6,85,12,3.71
13,Ushuaia,AR,2022-09-14 15:32:41,-54.8,-68.3,46.06,31,0,4.61
14,Port Blair,IN,2022-09-14 15:33:17,11.6667,92.75,79.92,83,100,7.4
15,Vaini,TO,2022-09-14 15:34:13,-21.2,-175.2,75.36,88,20,4.61
16,Darhan,MN,2022-09-14 15:34:13,49.4867,105.9228,50.05,53,94,12.26
17,Codrington,AU,2022-09-14 15:34:14,-38.2667,141.9667,54.61,93,100,16.17
18,Sakakah,SA,2022-09-14 15:31:02,29.9697,40.2064,99.97,14,0,6.46
19,Port Alfred,ZA,2022-09-14 15:34:14,-33.5906,26.891,69.19,83,0,3.0
20,Hithadhoo,MV,2022-09-14 15:34:14,-0.6,73.0833,82.29,70,11,7.29
21,Baindur,IN,2022-09-14 15:34:15,13.8667,74.6333,77.41,88,87,6.33
22,Jamestown,US,2022-09-14 15:34:16,42.097,-79.2353,71.02,70,75,10.36
23,Tiksi,RU,2022-09-14 15:34:17,71.6872,128.8694,34.99,96,100,12.82
24,Mahebourg,MU,2022-09-14 15:34:17,-20.4081,57.7,71.89,78,40,8.05
25,Pekin,CN,2022-09-14 15:33:20,39.9075,116.3972,71.49,78,0,2.91
26,Albany,US,2022-09-14 15:32:16,42.6001,-73.9662,70.36,79,40,10.63
27,Vestmannaeyjar,IS,2022-09-14 15:34:18,63.4427,-20.2734,50.99,71,0,16.11
28,Puerto Ayora,EC,2022-09-14 15:34:18,-0.7393,-90.3518,71.56,99,100,10.0
29,Iqaluit,CA,2022-09-14 15:30:13,63.7506,-68.5145,44.33,75,75,8.05
30,Hilo,US,2022-09-14 15:31:21,19.7297,-155.09,76.28,77,100,8.01
31,Waihi Beach,NZ,2022-09-14 15:34:19,-37.4,175.9333,45.82,89,6,1.99
32,Zabaykalsk,RU,2022-09-14 15:34:20,49.6333,117.3167,55.31,42,100,7.43
33,Coihaique,CL,2022-09-14 15:34:21,-45.5752,-72.0662,43.41,100,100,3.44
34,Port Elizabeth,ZA,2022-09-14 15:34:21,-33.918,25.5701,74.1,75,0,8.05
35,Roela,EE,2022-09-14 15:34:21,59.1667,26.5926,56.23,71,86,9.84
36,Cherskiy,RU,2022-09-14 15:34:22,68.75,161.3,35.31,91,100,6.26
37,Kapaa,US,2022-09-14 15:34:22,22.0752,-159.319,75.52,86,75,4.61
38,Lebu,CL,2022-09-14 15:34:11,-37.6167,-73.65,56.16,61,64,6.42
39,Thompson,CA,2022-09-14 15:34:23,55.7435,-97.8558,50.16,76,20,3.44
40,Tutoia,BR,2022-09-14 15:34:23,-2.7619,-42.2744,85.05,64,40,15.86
41,Dumas,US,2022-09-14 15:34:24,35.8656,-101.9732,75.34,50,0,14.97
42,Auki,SB,2022-09-14 15:34:24,-8.7676,160.7034,75.78,90,94,4.83
43,Rikitea,PF,2022-09-14 15:34:24,-23.1203,-134.9692,70.34,75,100,9.28
44,Nouadhibou,MR,2022-09-14 15:34:25,20.931,-17.0347,78.78,69,92,18.41
45,Nantucket,US,2022-09-14 15:34:25,41.2835,-70.0995,75.31,58,0,17.27
46,Hermanus,ZA,2022-09-14 15:34:26,-34.4187,19.2345,67.8,71,29,2.21
47,Hobart,AU,2022-09-14 15:34:00,-42.8794,147.3294,44.46,78,5,9.22
48,Chapais,CA,2022-09-14 15:32:47,49.7834,-74.8492,49.78,73,100,13.91
49,New Norfolk,AU,2022-09-14 15:35:27,-42.7826,147.0587,44.1,97,22,2.89
50,Muskegon,US,2022-09-14 15:35:27,43.3,-86.1334,69.66,77,20,8.05
51,Tias,ES,2022-09-14 15:35:27,28.9611,-13.645,74.88,83,40,12.66
52,Zhezkazgan,KZ,2022-09-14 15:35:28,47.8043,67.7144,59.04,25,69,14.5
53,Erdenet,MN,2022-09-14 15:35:28,49.0333,104.0833,42.37,91,98,4.43
54,Cape Canaveral,US,2022-09-14 15:32:54,28.4058,-80.6048,88.2,71,20,9.22
55,Ardahan,TR,2022-09-14 15:35:29,41.1087,42.7022,47.03,86,71,5.3
56,Mar Del Plata,AR,2022-09-14 15:35:29,-38.0023,-57.5575,50.95,81,75,1.99
57,Khani,GE,2022-09-14 15:35:30,41.9563,42.9566,58.57,95,98,2.42
58,Bredasdorp,ZA,2022-09-14 15:34:18,-34.5322,20.0403,65.46,51,24,6.62
59,Katobu,ID,2022-09-14 15:35:30,-4.9408,122.5276,73.44,89,100,2.53
60,Luderitz,NA,2022-09-14 15:35:31,-26.6481,15.1594,61.66,70,6,7.87
61,Yellowknife,CA,2022-09-14 15:33:15,62.456,-114.3525,48.72,81,20,2.3
62,Pahrump,US,2022-09-14 15:30:35,36.2083,-115.9839,75.25,56,9,8.01
63,Kikwit,CD,2022-09-14 15:35:32,-5.041,18.8162,87.73,47,91,2.84
64,Orlik,RU,2022-09-14 15:35:32,52.5178,99.825,43.05,92,100,2.77
65,Cape Town,ZA,2022-09-14 15:31:26,-33.9258,18.4232,70.21,48,0,10.36
66,Cabo San Lucas,MX,2022-09-14 15:35:32,22.8909,-109.9124,87.51,66,0,12.66
67,Rawson,AR,2022-09-14 15:30:53,-43.3002,-65.1023,70.05,31,57,13.11
68,Barcelos,PT,2022-09-14 15:35:33,41.5388,-8.6151,71.85,85,82,8.97
69,Busselton,AU,2022-09-14 15:35:33,-33.65,115.3333,55.78,73,95,13.04
70,Kaeo,NZ,2022-09-14 15:35:34,-35.1,173.7833,43.32,93,19,4.63
71,Dikson,RU,2022-09-14 15:35:35,73.5069,80.5464,38.35,74,68,10.76
72,Qaanaaq,GL,2022-09-14 15:35:35,77.484,-69.3632,35.53,76,83,4.09
73,Saint-Philippe,RE,2022-09-14 15:35:35,-21.3585,55.7679,72.99,73,86,8.25
74,Tres Arroyos,AR,2022-09-14 15:35:36,-38.3739,-60.2798,68.58,32,2,6.78
75,Laguna,US,2022-09-14 15:35:36,38.421,-121.4238,65.43,78,0,10.36
76,Lagoa,PT,2022-09-14 15:35:36,39.05,-27.9833,74.52,85,56,20.02
77,Northam,GB,2022-09-14 15:35:37,51.0333,-4.2167,67.6,72,18,14.56
78,Goderich,CA,2022-09-14 15:35:37,43.7501,-81.7165,67.91,77,18,11.5
79,Tuatapere,NZ,2022-09-14 15:35:37,-46.1333,167.6833,36.39,91,10,5.01
80,Zhigansk,RU,2022-09-14 15:35:38,66.7697,123.3711,37.02,76,95,10.45
81,Zorritos,PE,2022-09-14 15:35:38,-3.6805,-80.6782,71.89,68,82,9.93
82,Amapa,BR,2022-09-14 15:35:39,1.0,-52.0,94.66,37,5,6.49
83,Bytosh,RU,2022-09-14 15:35:39,53.8186,34.0912,47.07,98,100,4.56
84,Puerto Ayacucho,VE,2022-09-14 15:35:39,5.6639,-67.6236,87.44,63,49,4.81
85,Kavieng,PG,2022-09-14 15:35:40,-2.5744,150.7967,81.45,75,51,16.73
86,Bizhbulyak,RU,2022-09-14 15:35:40,53.6967,54.2642,59.74,40,98,11.86
87,Miles City,US,2022-09-14 15:35:41,46.4083,-105.8406,63.57,67,0,5.75
88,Ikongo,MG,2022-09-14 15:35:41,-21.8833,47.4333,64.04,88,77,2.39
89,Merrill,US,2022-09-14 15:35:41,45.1805,-89.6835,62.37,75,0,8.05
90,Champerico,GT,2022-09-14 15:35:42,14.3,-91.9167,79.34,73,75,10.58
91,Yagoua,CM,2022-09-14 15:35:42,10.3411,15.2329,81.57,73,73,3.85
92,The Valley,AI,2022-09-14 15:35:42,18.217,-63.0578,89.46,74,20,14.97
